Layer Name,Hole Name,Collar X,Collar Y,Collar Z,Burden,Spacing,Dip,Bearing,Diameter,Drill Length,Subdrill,Toe X,Toe Y,Toe Z
S5_346_516_V2,19,478830.527,6772564.39,357.852,3,3.6,90,0,0.165,12.2,0.3,478830.527,6772564.39,345.7
S5_346_516_V2,20,478828.305,6772567.221,357.813,3,3.6,90,0,0.165,12.1,0.3,478828.305,6772567.22,345.7
S5_346_516_V2,21,478826.082,6772570.053,357.838,3,3.6,90,0,0.165,12.1,0.3,478826.082,6772570.05,345.7
S5_346_516_V2,22,478823.859,6772572.885,357.922,3,3.6,90,0,0.165,12.2,0.3,478823.859,6772572.88,345.7
S5_346_516_V2,23,478821.636,6772575.717,357.974,3,3.6,90,0,0.165,12.3,0.3,478821.636,6772575.72,345.7
S5_346_516_V2,24,478819.413,6772578.548,357.957,3,3.6,90,0,0.165,12.3,0.3,478819.413,6772578.55,345.7
S5_346_516_V2,25,478817.19,6772581.38,357.969,3,3.6,90,0,0.165,12.3,0.3,478817.19,6772581.38,345.7
S5_346_516_V2,26,478814.967,6772584.212,357.977,3,3.6,90,0,0.165,12.3,0.3,478814.967,6772584.21,345.7
S5_346_516_V2,27,478812.744,6772587.044,357.904,3,3.6,90,0,0.165,12.2,0.3,478812.744,6772587.04,345.7
S5_346_516_V2,28,478810.522,6772589.875,357.899,3,3.6,90,0,0.165,12.2,0.3,478810.522,6772589.88,345.7
S5_346_516_V2,29,478807.954,6772592.526,358.066,3,3.6,90,0,0.165,12.4,0.3,478807.954,6772592.53,345.7
S5_346_516_V2,30,478805.764,6772595.266,358.105,3,3.6,90,0,0.165,12.4,0.3,478805.764,6772595.27,345.7
S5_346_516_V2,31,478803.243,6772597.836,358.247,3,3.6,90,0,0.165,12.5,0.3,478803.243,6772597.84,345.7
S5_346_516_V2,32,478800.722,6772600.406,358.119,3,3.6,90,0,0.165,12.4,0.3,478800.722,6772600.41,345.7
S5_346_516_V2,33,478798.218,6772602.992,358.221,3,3.6,90,0,0.165,12.5,0.3,478798.218,6772602.99,345.7
S5_346_516_V2,34,478795.72,6772605.585,358.181,3,3.6,90,0,0.165,12.5,0.3,478795.72,6772605.58,345.7
S5_346_516_V2,35,478793.534,6772608.472,358.168,3,3.6,90,0,0.165,12.5,0.3,478793.534,6772608.47,345.7
S5_346_516_V2,36,478790.724,6772610.77,358.147,3,3.6,90,0,0.165,12.4,0.3,478790.724,6772610.77,345.7
S5_346_516_V2,37,478788.227,6772613.362,358.329,3,3.6,90,0,0.165,12.6,0.3,478788.227,6772613.36,345.7
S5_346_516_V2,38,478785.209,6772615.852,358.565,3,3.6,90,0,0.165,12.9,0.3,478785.209,6772615.85,345.7
S5_346_516_V2,39,478783.231,6772618.547,358.645,3,3.6,90,0,0.165,12.9,0.3,478783.231,6772618.55,345.7
S5_346_516_V2,40,478780.733,6772621.14,358.646,3,3.6,90,0,0.165,12.9,0.3,478780.733,6772621.14,345.7
S5_346_516_V2,41,478778.236,6772623.732,358.555,3,3.6,90,0,0.165,12.9,0.3,478778.236,6772623.73,345.7
S5_346_516_V2,42,478775.738,6772626.325,358.421,3,3.6,90,0,0.165,12.7,0.3,478775.738,6772626.32,345.7
S5_346_516_V2,43,478773.24,6772628.917,358.215,3,3.6,90,0,0.165,12.5,0.3,478773.24,6772628.92,345.7
S5_346_516_V2,44,478770.742,6772631.51,358.211,3,3.6,90,0,0.165,12.5,0.3,478770.742,6772631.51,345.7
S5_346_516_V2,45,478769.362,6772633.144,358.183,3,3.6,90,0,0.165,12.5,0.3,478769.362,6772633.14,345.7
S5_346_516_V2,46,478768.16,6772634.382,358.175,3,3.6,75,313.784,0.165,12.9,0.3,478765.747,6772636.7,345.7
S5_346_516_V2,311,478755.14,6772549.432,358.104,3.3,3.8,90,0,0.165,13.6,1.5,478755.14,6772549.43,344.5
S5_346_516_V2,312,478752.793,6772552.421,358.431,3.3,3.8,90,0,0.165,13.9,1.5,478752.793,6772552.42,344.5
S5_346_516_V2,313,478750.447,6772555.41,358.35,3.3,3.8,90,0,0.165,13.9,1.5,478750.447,6772555.41,344.5
S5_346_516_V2,314,478746.679,6772554.864,358.129,3.3,3.8,90,0,0.165,13.6,1.5,478746.679,6772554.86,344.5
S5_346_516_V2,315,478749.414,6772552.128,358.16,3.3,3.8,90,0,0.165,13.7,1.5,478749.414,6772552.13,344.5
S5_346_516_V2,316,478751.947,6772549.216,358.036,3.3,3.8,90,0,0.165,13.5,1.5,478751.947,6772549.22,344.5
S5_346_516_V2,317,478753.717,6772545.9,358.019,3.3,3.8,90,0,0.165,13.5,1.5,478753.717,6772545.9,344.5
S5_346_516_V2,318,478751.901,6772546.983,358.192,3.3,3.8,75,230,0.165,14.2,1.5,478749.091,6772544.62,344.5
S5_346_516_V2,319,478750.531,6772547.994,358.136,3.3,3.8,90,230,0.165,13.6,1.5,478750.531,6772547.99,344.5
S5_346_516_V2,320,478749.126,6772549.581,358.003,3.3,3.8,75,230,0.165,14,1.5,478746.355,6772547.26,344.5
S5_346_516_V2,321,478747.739,6772550.827,358.104,3.3,3.8,90,230,0.165,13.6,1.5,478747.739,6772550.83,344.5
S5_346_516_V2,322,478746.482,6772552.363,358.071,3.3,3.8,75,230,0.165,14.1,1.5,478743.697,6772550.03,344.5
S5_346_516_V2,323,478744.905,6772553.398,358.168,3.3,3.8,90,230,0.165,13.7,1.5,478744.905,6772553.4,344.5
S5_346_516_V2,324,478743.711,6772555.089,358.148,3.3,3.8,75,230,0.165,14.1,1.5,478740.909,6772552.74,344.5
S5_346_516_V2,1,478770.582,6772638.596,358.074,5,6,90,0,0.165,5.5,-1.6,478770.582,6772638.6,352.607
S5_346_516_V2,2,478773.194,6772636.172,358.15,5,6,90,0,0.165,5.3,-1.6,478773.194,6772636.17,352.843
S5_346_516_V2,3,478777.357,6772631.851,358.364,5,6,90,0,0.165,5.5,-1.6,478777.357,6772631.85,352.843
S5_346_516_V2,4,478781.52,6772627.53,358.396,5,6,90,0,0.165,5.6,-1.6,478781.52,6772627.53,352.843
S5_346_516_V2,5,478785.683,6772623.209,358.415,5,6,90,0,0.165,5.6,-1.6,478785.683,6772623.21,352.843
S5_346_516_V2,6,478789.846,6772618.888,358.368,5,6,90,0,0.165,5.5,-1.6,478789.846,6772618.89,352.843
S5_346_516_V2,7,478794.009,6772614.568,358.254,5,6,90,0,0.165,5.4,-1.6,478794.009,6772614.57,352.843
S5_346_516_V2,8,478798.171,6772610.247,358.13,5,6,90,0,0.165,5.3,-1.6,478798.171,6772610.25,352.843
S5_346_516_V2,9,478802.334,6772605.926,358.21,5,6,90,0,0.165,5.4,-1.6,478802.334,6772605.93,352.843
S5_346_516_V2,10,478806.524,6772601.631,358.371,5,6,90,0,0.165,5.5,-1.6,478806.524,6772601.63,352.844
S5_346_516_V2,11,478810.726,6772597.348,358.333,5,6,90,0,0.165,5.5,-1.6,478810.726,6772597.35,352.844
S5_346_516_V2,12,478814.605,6772592.771,357.985,5,6,90,0,0.165,5.1,-1.6,478814.605,6772592.77,352.844
S5_346_516_V2,13,478818.31,6772588.051,357.942,5,6,90,0,0.165,5.1,-1.6,478818.31,6772588.05,352.844
S5_346_516_V2,14,478822.015,6772583.331,357.905,5,6,90,0,0.165,5.1,-1.6,478822.015,6772583.33,352.844
S5_346_516_V2,15,478825.72,6772578.612,357.954,5,6,90,0,0.165,5.1,-1.6,478825.72,6772578.61,352.844
S5_346_516_V2,16,478829.022,6772574.419,357.896,5,6,90,0,0.165,5,-1.6,478829.022,6772574.42,352.853
S5_346_516_V2,17,478832.282,6772570.239,357.769,5,6,90,0,0.165,4.9,-1.6,478832.282,6772570.24,352.835
S5_346_516_V2,18,478835.541,6772566.105,357.774,5,6,90,0,0.165,4.9,-1.6,478835.541,6772566.1,352.847
S5_346_516_V2,47,478831.535,6772560.929,357.571,4.7,5.4,90,140,0.229,13.1,1.5,478831.535,6772560.93,344.5
S5_346_516_V2,48,478827.509,6772562.097,357.874,4.7,5.4,90,51.869,0.229,13.4,1.5,478827.509,6772562.1,344.5
S5_346_516_V2,49,478824.573,6772566.12,357.818,4.7,5.4,90,51.869,0.229,13.3,1.5,478824.573,6772566.12,344.5
S5_346_516_V2,50,478821.53,6772570.024,357.904,4.7,5.4,90,51.869,0.229,13.4,1.5,478821.53,6772570.02,344.5
S5_346_516_V2,51,478818.457,6772573.937,357.967,4.7,5.4,90,51.869,0.229,13.5,1.5,478818.457,6772573.94,344.5
S5_346_516_V2,52,478815.122,6772578.184,357.969,4.7,5.4,90,51.869,0.229,13.5,1.5,478815.122,6772578.18,344.5
S5_346_516_V2,53,478811.788,6772582.432,357.963,4.7,5.4,90,51.869,0.229,13.5,1.5,478811.788,6772582.43,344.5
S5_346_516_V2,54,478808.454,6772586.679,357.888,4.7,5.4,90,51.869,0.229,13.4,1.5,478808.454,6772586.68,344.5
S5_346_516_V2,55,478805.019,6772590.825,358.004,4.7,5.4,90,46.241,0.229,13.5,1.5,478805.019,6772590.83,344.5
S5_346_516_V2,56,478801.314,6772594.771,358.118,4.7,5.4,90,46.241,0.229,13.6,1.5,478801.314,6772594.77,344.5
S5_346_516_V2,57,478797.579,6772598.671,358.057,4.7,5.4,90,46.241,0.229,13.6,1.5,478797.579,6772598.67,344.5
S5_346_516_V2,58,478793.845,6772602.572,358.114,4.7,5.4,90,46.241,0.229,13.6,1.5,478793.845,6772602.57,344.5
S5_346_516_V2,59,478790.11,6772606.472,358.129,4.7,5.4,90,46.241,0.229,13.6,1.5,478790.11,6772606.47,344.5
S5_346_516_V2,60,478786.375,6772610.372,358.253,4.7,5.4,90,46.241,0.229,13.8,1.5,478786.375,6772610.37,344.5
S5_346_516_V2,61,478782.64,6772614.272,358.657,4.7,5.4,90,46.241,0.229,14.2,1.5,478782.64,6772614.27,344.5
S5_346_516_V2,62,478778.906,6772618.172,358.589,4.7,5.4,90,46.241,0.229,14.1,1.5,478778.906,6772618.17,344.5
S5_346_516_V2,63,478775.171,6772622.073,358.453,4.7,5.4,90,46.241,0.229,14,1.5,478775.171,6772622.07,344.5
S5_346_516_V2,64,478771.436,6772625.973,358.243,4.7,5.4,90,46.241,0.229,13.7,1.5,478771.436,6772625.97,344.5
S5_346_516_V2,65,478767.701,6772629.873,358.215,4.7,5.4,90,46.241,0.229,13.7,1.5,478767.701,6772629.87,344.5
S5_346_516_V2,66,478767.522,6772632.82,358.238,4.7,5.4,75,285,0.229,14.2,1.5,478763.967,6772633.77,344.5
S5_346_516_V2,67,478766.008,6772627.616,358.288,4.7,5.4,75,285,0.229,14.3,1.5,478762.439,6772628.57,344.5
S5_346_516_V2,68,478766.174,6772624.672,358.305,4.7,5.4,90,46.241,0.229,13.8,1.5,478766.174,6772624.67,344.5
S5_346_516_V2,69,478769.909,6772620.772,358.206,4.7,5.4,90,46.241,0.229,13.7,1.5,478769.909,6772620.77,344.5
S5_346_516_V2,70,478773.644,6772616.872,358.273,4.7,5.4,90,46.241,0.229,13.8,1.5,478773.644,6772616.87,344.5
S5_346_516_V2,71,478777.378,6772612.972,358.256,4.7,5.4,90,46.241,0.229,13.8,1.5,478777.378,6772612.97,344.5
S5_346_516_V2,72,478781.113,6772609.071,358.181,4.7,5.4,90,46.241,0.229,13.7,1.5,478781.113,6772609.07,344.5
S5_346_516_V2,73,478784.848,6772605.171,358.124,4.7,5.4,90,46.241,0.229,13.6,1.5,478784.848,6772605.17,344.5
S5_346_516_V2,74,478788.583,6772601.271,358.015,4.7,5.4,90,46.241,0.229,13.5,1.5,478788.583,6772601.27,344.5
S5_346_516_V2,75,478792.317,6772597.371,357.971,4.7,5.4,90,46.241,0.229,13.5,1.5,478792.317,6772597.37,344.5
S5_346_516_V2,76,478796.052,6772593.471,357.841,4.7,5.4,90,46.241,0.229,13.3,1.5,478796.052,6772593.47,344.5
S5_346_516_V2,77,478799.571,6772589.686,357.939,4.7,5.4,90,51.869,0.229,13.4,1.5,478799.571,6772589.69,344.5
S5_346_516_V2,78,478802.984,6772585.661,357.85,4.7,5.4,90,51.869,0.229,13.4,1.5,478802.984,6772585.66,344.5
S5_346_516_V2,79,478806.424,6772581.653,357.868,4.7,5.4,90,51.869,0.229,13.4,1.5,478806.424,6772581.65,344.5
S5_346_516_V2,80,478809.758,6772577.406,357.958,4.7,5.4,90,51.869,0.229,13.5,1.5,478809.758,6772577.41,344.5
S5_346_516_V2,81,478813.092,6772573.158,357.984,4.7,5.4,90,51.869,0.229,13.5,1.5,478813.092,6772573.16,344.5
S5_346_516_V2,82,478816.042,6772569.394,357.978,4.7,5.4,90,51.869,0.229,13.5,1.5,478816.042,6772569.39,344.5
S5_346_516_V2,83,478818.977,6772565.68,357.87,4.7,5.4,90,51.869,0.229,13.4,1.5,478818.977,6772565.68,344.5
S5_346_516_V2,84,478821.903,6772561.943,357.923,4.7,5.4,90,51.869,0.229,13.4,1.5,478821.903,6772561.94,344.5
S5_346_516_V2,85,478826.216,6772557.479,357.54,4.7,5.4,90,140,0.229,13,1.5,478826.216,6772557.48,344.5
S5_346_516_V2,86,478821.457,6772557.989,357.759,4.7,5.4,90,140,0.229,13.3,1.5,478821.457,6772557.99,344.5
S5_346_516_V2,87,478816.445,6772561.162,357.946,4.7,5.4,90,51.869,0.229,13.4,1.5,478816.445,6772561.16,344.5
S5_346_516_V2,88,478813.588,6772564.916,357.956,4.7,5.4,90,51.869,0.229,13.5,1.5,478813.588,6772564.92,344.5
S5_346_516_V2,89,478810.679,6772568.636,357.974,4.7,5.4,90,51.869,0.229,13.5,1.5,478810.679,6772568.64,344.5
S5_346_516_V2,90,478807.728,6772572.38,357.957,4.7,5.4,90,51.869,0.229,13.5,1.5,478807.728,6772572.38,344.5
S5_346_516_V2,91,478804.394,6772576.628,357.883,4.7,5.4,90,51.869,0.229,13.4,1.5,478804.394,6772576.63,344.5
S5_346_516_V2,92,478801.095,6772580.613,357.751,4.7,5.4,90,51.869,0.229,13.3,1.5,478801.095,6772580.61,344.5
S5_346_516_V2,93,478797.792,6772584.573,357.759,4.7,5.4,90,51.869,0.229,13.3,1.5,478797.792,6772584.57,344.5
S5_346_516_V2,94,478794.324,6772588.421,357.838,4.7,5.4,90,46.241,0.229,13.3,1.5,478794.324,6772588.42,344.5
S5_346_516_V2,95,478790.79,6772592.17,357.799,4.7,5.4,90,46.241,0.229,13.3,1.5,478790.79,6772592.17,344.5
S5_346_516_V2,96,478787.055,6772596.07,357.848,4.7,5.4,90,46.241,0.229,13.3,1.5,478787.055,6772596.07,344.5
S5_346_516_V2,97,478783.321,6772599.97,357.91,4.7,5.4,90,46.241,0.229,13.4,1.5,478783.321,6772599.97,344.5
S5_346_516_V2,98,478779.586,6772603.871,357.994,4.7,5.4,90,46.241,0.229,13.5,1.5,478779.586,6772603.87,344.5
S5_346_516_V2,99,478775.851,6772607.771,358.037,4.7,5.4,90,46.241,0.229,13.5,1.5,478775.851,6772607.77,344.5
S5_346_516_V2,100,478772.116,6772611.671,358.098,4.7,5.4,90,46.241,0.229,13.6,1.5,478772.116,6772611.67,344.5
S5_346_516_V2,101,478768.382,6772615.571,358.166,4.7,5.4,90,46.241,0.229,13.7,1.5,478768.382,6772615.57,344.5
S5_346_516_V2,102,478764.647,6772619.472,358.223,4.7,5.4,90,46.241,0.229,13.7,1.5,478764.647,6772619.47,344.5
S5_346_516_V2,103,478764.482,6772622.415,358.291,4.7,5.4,75,285,0.229,14.3,1.5,478760.912,6772623.37,344.5
S5_346_516_V2,104,478762.933,6772617.22,358.208,4.7,5.4,75,285,0.229,14.2,1.5,478759.385,6772618.17,344.5
S5_346_516_V2,105,478763.12,6772614.271,358.213,4.7,5.4,90,46.241,0.229,13.7,1.5,478763.12,6772614.27,344.5
S5_346_516_V2,106,478766.854,6772610.371,358.198,4.7,5.4,90,46.241,0.229,13.7,1.5,478766.854,6772610.37,344.5
S5_346_516_V2,107,478770.589,6772606.47,358.027,4.7,5.4,90,46.241,0.229,13.5,1.5,478770.589,6772606.47,344.5
S5_346_516_V2,108,478774.324,6772602.57,357.908,4.7,5.4,90,46.241,0.229,13.4,1.5,478774.324,6772602.57,344.5
S5_346_516_V2,109,478778.059,6772598.67,357.82,4.7,5.4,90,46.241,0.229,13.3,1.5,478778.059,6772598.67,344.5
S5_346_516_V2,110,478781.793,6772594.77,357.718,4.7,5.4,90,46.241,0.229,13.2,1.5,478781.793,6772594.77,344.5
S5_346_516_V2,111,478785.528,6772590.87,357.788,4.7,5.4,90,46.241,0.229,13.3,1.5,478785.528,6772590.87,344.5
S5_346_516_V2,112,478789.023,6772587.203,357.713,4.7,5.4,90,46.241,0.229,13.2,1.5,478789.023,6772587.2,344.5
S5_346_516_V2,113,478792.479,6772583.533,357.78,4.7,5.4,90,51.869,0.229,13.3,1.5,478792.479,6772583.53,344.5
S5_346_516_V2,114,478795.777,6772579.666,357.7,4.7,5.4,90,51.869,0.229,13.2,1.5,478795.777,6772579.67,344.5
S5_346_516_V2,115,478799.03,6772575.849,357.795,4.7,5.4,90,51.869,0.229,13.3,1.5,478799.03,6772575.85,344.5
S5_346_516_V2,116,478802.364,6772571.602,357.925,4.7,5.4,90,51.869,0.229,13.4,1.5,478802.364,6772571.6,344.5
S5_346_516_V2,117,478805.698,6772567.354,357.949,4.7,5.4,90,51.869,0.229,13.4,1.5,478805.698,6772567.35,344.5
S5_346_516_V2,118,478809.033,6772563.106,357.93,4.7,5.4,90,51.869,0.229,13.4,1.5,478809.033,6772563.11,344.5
S5_346_516_V2,119,478812.367,6772558.859,357.921,4.7,5.4,90,51.869,0.229,13.4,1.5,478812.367,6772558.86,344.5
S5_346_516_V2,120,478816.776,6772556.77,357.816,4.7,5.4,90,140,0.229,13.3,1.5,478816.776,6772556.77,344.5
S5_346_516_V2,121,478813.028,6772553.993,357.762,4.7,5.4,90,140,0.229,13.3,1.5,478813.028,6772553.99,344.5
S5_346_516_V2,122,478809.014,6772555.485,357.846,4.7,5.4,90,51.869,0.229,13.3,1.5,478809.014,6772555.48,344.5
S5_346_516_V2,123,478806.16,6772559.164,357.959,4.7,5.4,90,51.869,0.229,13.5,1.5,478806.16,6772559.16,344.5
S5_346_516_V2,124,478803.232,6772562.899,357.982,4.7,5.4,90,51.869,0.229,13.5,1.5,478803.232,6772562.9,344.5
S5_346_516_V2,125,478800.334,6772566.576,357.953,4.7,5.4,90,51.869,0.229,13.5,1.5,478800.334,6772566.58,344.5
S5_346_516_V2,126,478797,6772570.823,357.925,4.7,5.4,90,51.869,0.229,13.4,1.5,478797,6772570.82,344.5
S5_346_516_V2,127,478793.863,6772574.647,357.808,4.7,5.4,90,51.869,0.229,13.3,1.5,478793.863,6772574.65,344.5
S5_346_516_V2,128,478790.701,6772578.42,357.727,4.7,5.4,90,51.869,0.229,13.2,1.5,478790.701,6772578.42,344.5
S5_346_516_V2,129,478787.356,6772582.068,357.746,4.7,5.4,90,46.241,0.229,13.2,1.5,478787.356,6772582.07,344.5
S5_346_516_V2,130,478784.001,6772585.669,357.673,4.7,5.4,90,46.241,0.229,13.2,1.5,478784.001,6772585.67,344.5
S5_346_516_V2,131,478780.266,6772589.569,357.669,4.7,5.4,90,46.241,0.229,13.2,1.5,478780.266,6772589.57,344.5
S5_346_516_V2,132,478776.531,6772593.469,357.683,4.7,5.4,90,46.241,0.229,13.2,1.5,478776.531,6772593.47,344.5
S5_346_516_V2,133,478772.797,6772597.369,357.772,4.7,5.4,90,46.241,0.229,13.3,1.5,478772.797,6772597.37,344.5
S5_346_516_V2,134,478769.062,6772601.27,357.861,4.7,5.4,90,46.241,0.229,13.4,1.5,478769.062,6772601.27,344.5
S5_346_516_V2,135,478765.327,6772605.17,358,4.7,5.4,90,46.241,0.229,13.5,1.5,478765.327,6772605.17,344.5
S5_346_516_V2,136,478761.592,6772609.07,358.162,4.7,5.4,90,46.241,0.229,13.7,1.5,478761.592,6772609.07,344.5
S5_346_516_V2,137,478761.414,6772612.017,358.242,4.7,5.4,75,285,0.229,14.2,1.5,478757.858,6772612.97,344.5
S5_346_516_V2,138,478759.853,6772606.826,358.109,4.7,5.4,75,285,0.229,14.1,1.5,478756.33,6772607.77,344.5
S5_346_516_V2,139,478760.065,6772603.869,358.045,4.7,5.4,90,46.241,0.229,13.5,1.5,478760.065,6772603.87,344.5
S5_346_516_V2,140,478763.8,6772599.969,357.904,4.7,5.4,90,46.241,0.229,13.4,1.5,478763.8,6772599.97,344.5
S5_346_516_V2,141,478767.535,6772596.069,357.773,4.7,5.4,90,46.241,0.229,13.3,1.5,478767.535,6772596.07,344.5
S5_346_516_V2,142,478771.259,6772592.198,357.736,4.7,5.4,90,46.241,0.229,13.2,1.5,478771.259,6772592.2,344.5
S5_346_516_V2,143,478775.004,6772588.269,357.675,4.7,5.4,90,46.241,0.229,13.2,1.5,478775.004,6772588.27,344.5
S5_346_516_V2,144,478778.739,6772584.368,357.621,4.7,5.4,90,46.241,0.229,13.1,1.5,478778.739,6772584.37,344.5
S5_346_516_V2,145,478782.136,6772580.856,357.778,4.7,5.4,90,46.241,0.229,13.3,1.5,478782.136,6772580.86,344.5
S5_346_516_V2,146,478785.388,6772577.38,357.826,4.7,5.4,90,51.869,0.229,13.3,1.5,478785.388,6772577.38,344.5
S5_346_516_V2,147,478788.503,6772573.698,357.852,4.7,5.4,90,51.869,0.229,13.4,1.5,478788.503,6772573.7,344.5
S5_346_516_V2,148,478791.636,6772570.045,357.933,4.7,5.4,90,51.869,0.229,13.4,1.5,478791.636,6772570.05,344.5
S5_346_516_V2,149,478794.97,6772565.797,357.957,4.7,5.4,90,51.869,0.229,13.5,1.5,478794.97,6772565.8,344.5
