Blast,Hole ID,StartX,StartY,StartZ,EndX,EndY,EndZ,Burden,Spacing,Diameter,Length,Angle,Bearing,Subdrill,Time,Measured Length,Measured Mass
S4_226_401_V1,1,478335.038,6772110.194,236.989,478335.038,6772110.194,232.289,3.6,3,165,4.7,0,0,0,1560,4.7,43
S4_226_401_V1,2,478336.925,6772112.526,237.036,478336.925,6772112.526,231.936,3.6,3,165,5.1,0,0,0,1515,5.1,53
S4_226_401_V1,3,478338.811,6772114.859,237.112,478338.811,6772114.859,231.712,3.6,3,165,5.4,0,0,0,1469,5.4,61
S4_226_401_V1,4,478340.698,6772117.191,237.185,478340.698,6772117.191,231.385,3.6,3,165,5.8,0,0,0,1423,5.8,72
S4_226_401_V1,5,478342.657,6772119.393,237.197,478342.657,6772119.393,231.097,3.6,3,165,6.1,0,0,0,1379,6.1,79
S4_226_401_V1,6,478344.472,6772121.856,237.220,478344.472,6772121.856,230.820,3.6,3,165,6.4,0,0,0,1332,6.4,69
S4_226_401_V1,7,478346.359,6772124.188,237.346,478346.359,6772124.188,230.446,3.6,3,165,6.9,0,0,0,1286,6.9,90
S4_226_401_V1,8,478348.308,6772126.468,237.527,478348.308,6772126.468,230.227,3.6,3,165,7.3,0,0,0,1241,7.3,101
S4_226_401_V1,9,478350.258,6772128.749,237.713,478350.258,6772128.749,229.913,3.6,3,165,7.8,0,0,0,1267,7.8,113
S4_226_401_V1,10,478352.207,6772131.029,237.852,478352.207,6772131.029,229.552,3.6,3,165,8.3,0,0,0,1312,8.3,127
S4_226_401_V1,11,478354.156,6772133.309,237.989,478354.156,6772133.309,229.289,3.6,3,165,8.7,0,0,0,1357,8.7,138
S4_226_401_V1,12,478356.105,6772135.590,238.121,478356.105,6772135.590,229.021,3.6,3,165,9.1,0,0,0,1402,9.1,140
S4_226_401_V1,13,478358.055,6772137.870,238.280,478358.055,6772137.870,228.680,3.6,3,165,9.6,0,0,0,1447,9.6,154
S4_226_401_V1,14,478360.004,6772140.151,238.285,478360.004,6772140.151,228.385,3.6,3,165,9.9,0,0,0,1492,9.9,162
S4_226_401_V1,15,478361.981,6772142.407,238.195,478361.981,6772142.407,228.095,3.6,3,165,10.1,0,0,0,1537,10.1,167
S4_226_401_V1,16,478364.017,6772144.610,238.275,478364.017,6772144.610,227.775,3.6,3,165,10.5,0,0,0,1583,10.5,179
S4_226_401_V1,17,478366.054,6772146.813,238.374,478366.054,6772146.813,227.474,3.6,3,165,10.9,0,0,0,1629,10.9,190
S4_226_401_V1,18,478368.090,6772149.016,238.399,478368.090,6772149.016,227.199,3.6,3,165,11.2,0,0,0,1676,11.2,198
S4_226_401_V1,19,478370.127,6772151.219,238.404,478370.127,6772151.219,226.904,3.6,3,165,11.5,0,0,0,1722,11.5,198
S4_226_401_V1,20,478372.019,6772153.547,238.685,478372.019,6772153.547,226.685,3.6,3,165,12,0,0,0,1766,12,211
S4_226_401_V1,21,478373.901,6772155.883,238.890,478373.901,6772155.883,226.490,3.6,3,165,12.4,0,0,0,1810,12.4,221
S4_226_401_V1,22,478375.762,6772158.236,238.931,478375.762,6772158.236,226.231,3.6,3,165,12.7,0,0,0,1854,12.7,231
S4_226_401_V1,23,478377.616,6772160.595,238.736,478377.616,6772160.595,226.036,3.6,3,165,12.7,0,0,0,1898,12.7,231
S4_226_401_V1,24,478379.561,6772162.879,238.640,478379.561,6772162.879,226.040,3.6,3,165,12.6,0,0,0,1943,12.6,229
S4_226_401_V1,25,478381.505,6772165.163,238.491,478381.505,6772165.163,225.991,3.6,3,165,12.5,0,0,0,1988,12.5,226
S4_226_401_V1,26,478383.450,6772167.448,238.374,478383.450,6772167.448,225.974,3.6,3,165,12.4,0,0,0,2033,12.4,221
S4_226_401_V1,27,478385.381,6772169.744,238.177,478385.381,6772169.744,225.977,3.6,3,165,12.2,0,0,0,2078,12.2,216
S4_226_401_V1,28,478387.132,6772172.180,238.115,478387.132,6772172.180,226.015,3.6,3,165,12.1,0,0,0,2120,12.1,214
S4_226_401_V1,29,478388.904,6772174.667,238.105,478388.904,6772174.667,226.005,3.6,3,165,12.1,0,0,0,2163,12.1,214
S4_226_401_V1,30,478390.618,6772177.063,238.058,478390.618,6772177.063,225.958,3.6,3,165,12.1,0,0,0,2205,12.1,214
S4_226_401_V1,31,478392.340,6772179.519,238.025,478392.340,6772179.519,226.025,3.6,3,165,12,0,0,0,2247,12,211
S4_226_401_V1,32,478394.062,6772181.976,238.069,478394.062,6772181.976,225.969,3.6,3,165,12.1,0,0,0,2289,12.1,214
S4_226_401_V1,33,478395.783,6772184.433,238.068,478395.783,6772184.433,225.968,3.6,3,165,12.1,0,0,0,2332,12.1,214
S4_226_401_V1,34,478396.060,6772187.420,237.964,478396.060,6772187.420,225.964,3.6,3,165,12,0,0,0,2353,12,211
S4_226_401_V1,35,478394.469,6772189.964,237.851,478394.469,6772189.964,225.951,3.6,3,165,11.9,0,0,0,2341,11.9,208
S4_226_401_V1,36,478392.878,6772192.507,237.869,478392.878,6772192.507,225.969,3.6,3,165,11.9,0,0,0,2328,11.9,208
S4_226_401_V1,37,478391.287,6772195.051,237.947,478391.287,6772195.051,226.047,3.6,3,165,11.9,0,0,0,2316,11.9,208
S4_226_401_V1,38,478389.697,6772197.595,237.920,478389.697,6772197.595,226.020,3.6,3,165,11.9,0,0,0,2304,11.9,208
S4_226_401_V1,39,478388.100,6772200.087,237.945,478388.100,6772200.087,226.045,3.6,3,165,11.9,0,0,0,2305,11.9,208
S4_226_401_V1,40,478386.515,6772202.682,238.052,478386.515,6772202.682,225.952,3.6,3,165,12.1,0,0,0,2345,12.1,214
S4_226_401_V1,41,478384.924,6772205.225,238.103,478384.924,6772205.225,226.003,3.6,3,165,12.1,0,0,0,2384,12.1,214
S4_226_401_V1,42,478383.334,6772207.768,238.154,478383.334,6772207.768,225.954,3.6,3,165,12.2,0,0,0,2424,12.2,216
S4_226_401_V1,43,478381.743,6772210.312,238.211,478381.743,6772210.312,226.011,3.6,3,165,12.2,0,0,0,2463,12.2,216
S4_226_401_V1,44,478380.152,6772212.856,238.283,478380.152,6772212.856,225.983,3.6,3,165,12.3,0,0,0,2502,12.3,219
S4_226_401_V1,45,478378.561,6772215.399,238.210,478378.561,6772215.399,226.010,3.6,3,165,12.2,0,0,0,2546,12.2,216
S4_226_401_V1,46,478340.399,6772174.606,238.307,478340.399,6772174.606,226.007,3.6,3,165,12.3,0,0,0,1865,12.3,229
S4_226_401_V1,47,478338.255,6772172.508,238.363,478338.255,6772172.508,225.963,3.6,3,165,12.4,0,0,0,1792,12.4,231
S4_226_401_V1,48,478336.110,6772170.410,238.307,478336.110,6772170.410,226.007,3.6,3,165,12.3,0,0,0,1739,12.3,229
S4_226_401_V1,49,478333.974,6772168.303,238.145,478333.974,6772168.303,226.045,3.6,3,165,12.1,0,0,0,1692,12.1,221
S4_226_401_V1,50,478331.906,6772166.130,238.033,478331.906,6772166.130,226.033,3.6,3,165,12,0,0,0,1640,12,219
S4_226_401_V1,51,478329.838,6772163.956,238.036,478329.838,6772163.956,226.036,3.6,3,165,12,0,0,0,1588,12,219
S4_226_401_V1,52,478327.771,6772161.783,238.079,478327.771,6772161.783,225.979,3.6,3,165,12.1,0,0,0,1537,12.1,221
S4_226_401_V1,53,478325.703,6772159.609,238.070,478325.703,6772159.609,225.970,3.6,3,165,12.1,0,0,0,1485,12.1,221
S4_226_401_V1,54,478323.635,6772157.436,238.032,478323.635,6772157.436,226.032,3.6,3,165,12,0,0,0,1433,12,219
S4_226_401_V1,55,478321.567,6772155.262,238.029,478321.567,6772155.262,226.029,3.6,3,165,12,0,0,0,1381,12,219
S4_226_401_V1,56,478319.499,6772153.089,238.049,478319.499,6772153.089,226.049,3.6,3,165,12,0,0,0,1330,12,219
S4_226_401_V1,57,478317.432,6772150.914,238.105,478317.432,6772150.914,226.005,3.6,3,165,12.1,0,0,0,1285,12.1,221
S4_226_401_V1,58,478315.424,6772148.686,238.122,478315.424,6772148.686,226.022,3.6,3,165,12.1,0,0,0,1342,12.1,221
S4_226_401_V1,59,478313.416,6772146.457,238.097,478313.416,6772146.457,225.997,3.6,3,165,12.1,0,0,0,1398,12.1,221
S4_226_401_V1,60,478311.408,6772144.228,238.048,478311.408,6772144.228,226.048,3.6,3,165,12,0,0,0,1455,12,219
S4_226_401_V1,61,478309.400,6772141.999,237.992,478309.400,6772141.999,225.992,3.6,3,165,12,0,0,0,1511,12,219
S4_226_401_V1,62,478307.392,6772139.770,237.960,478307.392,6772139.770,225.960,3.6,3,165,12,0,0,0,1568,12,219
S4_226_401_V1,63,478305.384,6772137.541,237.935,478305.384,6772137.541,226.035,3.6,3,165,11.9,0,0,0,1625,11.9,216
S4_226_401_V1,64,478298.449,6772147.473,238.201,478298.449,6772147.473,221.001,3.6,3,165,17.2,0,0,0,1455,17.2,350
S4_226_401_V1,65,478300.682,6772149.477,238.249,478300.682,6772149.477,221.349,3.6,3,165,16.9,0,0,0,1401,16.9,339
S4_226_401_V1,66,478302.914,6772151.481,238.271,478302.914,6772151.481,221.671,3.6,3,165,16.6,0,0,0,1347,16.6,332
S4_226_401_V1,67,478305.147,6772153.485,238.253,478305.147,6772153.485,221.953,3.6,3,165,16.3,0,0,0,1293,16.3,324
S4_226_401_V1,68,478307.379,6772155.489,238.310,478307.379,6772155.489,222.210,3.6,3,165,16.1,0,0,0,1239,16.1,319
S4_226_401_V1,69,478309.612,6772157.492,238.293,478309.612,6772157.492,222.493,3.6,3,165,15.8,0,0,0,1185,15.8,311
S4_226_401_V1,70,478311.844,6772159.496,238.246,478311.844,6772159.496,222.846,3.6,3,165,15.4,0,0,0,1180,15.4,301
S4_226_401_V1,71,478314.077,6772161.500,238.179,478314.077,6772161.500,223.179,3.6,3,165,15,0,0,0,1234,15,288
S4_226_401_V1,72,478316.310,6772163.504,238.078,478316.310,6772163.504,223.478,3.6,3,165,14.6,0,0,0,1288,14.6,278
S4_226_401_V1,73,478318.542,6772165.508,238.048,478318.542,6772165.508,223.748,3.6,3,165,14.3,0,0,0,1342,14.3,270
S4_226_401_V1,74,478320.775,6772167.512,238.035,478320.775,6772167.512,224.035,3.6,3,165,14,0,0,0,1396,14,260
S4_226_401_V1,75,478323.007,6772169.516,238.001,478323.007,6772169.516,224.301,3.6,3,165,13.7,0,0,0,1450,13.7,253
S4_226_401_V1,76,478325.240,6772171.520,238.130,478325.240,6772171.520,224.630,3.6,3,165,13.5,0,0,0,1504,13.5,248
S4_226_401_V1,77,478327.472,6772173.524,238.162,478327.472,6772173.524,224.962,3.6,3,165,13.2,0,0,0,1558,13.2,240
S4_226_401_V1,78,478329.705,6772175.528,238.174,478329.705,6772175.528,225.274,3.6,3,165,12.9,0,0,0,1613,12.9,231
S4_226_401_V1,79,478331.938,6772177.531,238.116,478331.938,6772177.531,225.516,3.6,3,165,12.6,0,0,0,1667,12.6,223
S4_226_401_V1,80,478334.170,6772179.535,238.279,478334.170,6772179.535,225.879,3.6,3,165,12.4,0,0,0,1741,12.4,218
S4_226_401_V1,81,478300.891,6772144.135,238.122,478300.891,6772144.135,226.022,3.6,3,165,12.1,0,0,0,1499,12.1,221
S4_226_401_V1,82,478303.037,6772146.231,238.185,478303.037,6772146.231,225.985,3.6,3,165,12.2,0,0,0,1444,12.2,226
S4_226_401_V1,83,478305.184,6772148.327,238.190,478305.184,6772148.327,225.990,3.6,3,165,12.2,0,0,0,1389,12.2,226
S4_226_401_V1,84,478307.330,6772150.423,238.190,478307.330,6772150.423,225.990,3.6,3,165,12.2,0,0,0,1334,12.2,226
S4_226_401_V1,85,478309.477,6772152.519,238.233,478309.477,6772152.519,226.033,3.6,3,165,12.2,0,0,0,1279,12.2,226
S4_226_401_V1,86,478311.623,6772154.615,238.221,478311.623,6772154.615,226.021,3.6,3,165,12.2,0,0,0,1224,12.2,226
S4_226_401_V1,87,478313.770,6772156.711,238.207,478313.770,6772156.711,226.007,3.6,3,165,12.2,0,0,0,1203,12.2,226
S4_226_401_V1,88,478315.916,6772158.807,238.110,478315.916,6772158.807,226.010,3.6,3,165,12.1,0,0,0,1256,12.1,221
S4_226_401_V1,89,478318.062,6772160.903,238.093,478318.062,6772160.903,225.993,3.6,3,127,12.1,0,0,0,1308,12.1,131
S4_226_401_V1,90,478320.209,6772162.998,238.041,478320.209,6772162.998,226.041,3.6,3,127,12,0,0,0,1361,12,130
S4_226_401_V1,91,478322.355,6772165.094,238.035,478322.355,6772165.094,226.035,3.6,3,127,12,0,0,0,1414,12,130
S4_226_401_V1,92,478324.502,6772167.190,237.992,478324.502,6772167.190,225.992,3.6,3,127,12,0,0,0,1467,12,130
S4_226_401_V1,93,478326.648,6772169.286,237.996,478326.648,6772169.286,225.996,3.6,3,127,12,0,0,0,1520,12,130
S4_226_401_V1,94,478328.795,6772171.382,238.103,478328.795,6772171.382,226.003,3.6,3,127,12.1,0,0,0,1573,12.1,131
S4_226_401_V1,95,478330.941,6772173.478,238.138,478330.941,6772173.478,226.038,3.6,3,127,12.1,0,0,0,1626,12.1,131
S4_226_401_V1,96,478333.087,6772175.574,238.109,478333.087,6772175.574,226.009,3.6,3,127,12.1,0,0,0,1678,12.1,131
S4_226_401_V1,97,478308.169,6772204.558,238.712,478308.169,6772204.558,225.812,3.6,3,165,12.9,0,0,0,1834,12.9,231
S4_226_401_V1,98,478305.960,6772202.528,238.765,478305.960,6772202.528,225.565,3.6,3,165,13.2,0,0,0,1760,13.2,240
S4_226_401_V1,99,478303.751,6772200.497,238.769,478303.751,6772200.497,225.269,3.6,3,165,13.5,0,0,0,1705,13.5,248
S4_226_401_V1,100,478301.543,6772198.467,238.921,478301.543,6772198.467,225.021,3.6,3,165,13.9,0,0,0,1651,13.9,258
S4_226_401_V1,101,478299.334,6772196.437,239.064,478299.334,6772196.437,224.764,3.6,3,165,14.3,0,0,0,1596,14.3,270
S4_226_401_V1,102,478297.116,6772194.417,238.967,478297.116,6772194.417,224.467,3.6,3,165,14.5,0,0,0,1542,14.5,275
S4_226_401_V1,103,478294.885,6772192.412,238.484,478294.885,6772192.412,224.184,3.6,3,165,14.3,0,0,0,1488,14.3,270
S4_226_401_V1,104,478292.654,6772190.406,238.044,478292.654,6772190.406,223.944,3.6,3,165,14.1,0,0,0,1434,14.1,263
S4_226_401_V1,105,478290.423,6772188.400,238.015,478290.423,6772188.400,223.615,3.6,3,165,14.4,0,0,0,1380,14.4,273
S4_226_401_V1,106,478288.192,6772186.394,238.079,478288.192,6772186.394,223.279,3.6,3,165,14.8,0,0,0,1326,14.8,283
S4_226_401_V1,107,478285.961,6772184.388,238.080,478285.961,6772184.388,222.980,3.6,3,165,15.1,0,0,0,1316,15.1,291
S4_226_401_V1,108,478283.731,6772182.382,238.157,478283.731,6772182.382,222.657,3.6,3,165,15.5,0,0,0,1370,15.5,303
S4_226_401_V1,109,478281.500,6772180.377,238.094,478281.500,6772180.377,222.394,3.6,3,165,15.7,0,0,0,1424,15.7,308
S4_226_401_V1,110,478279.269,6772178.371,238.010,478279.269,6772178.371,222.110,3.6,3,165,15.9,0,0,0,1478,15.9,314
S4_226_401_V1,111,478277.038,6772176.365,238.036,478277.038,6772176.365,221.836,3.6,3,165,16.2,0,0,0,1532,16.2,321
S4_226_401_V1,112,478332.239,6772112.458,237.090,478332.239,6772112.458,232.290,3.6,3,165,4.8,0,0,0,1489,4.8,46
S4_226_401_V1,113,478334.126,6772114.790,237.134,478334.126,6772114.790,232.034,3.6,3,165,5.1,0,0,0,1444,5.1,53
S4_226_401_V1,114,478336.012,6772117.123,237.197,478336.012,6772117.123,231.697,3.6,3,165,5.5,0,0,0,1398,5.5,64
S4_226_401_V1,115,478337.899,6772119.455,237.315,478337.899,6772119.455,231.415,3.6,3,165,5.9,0,0,0,1352,5.9,74
S4_226_401_V1,116,478339.786,6772121.788,237.347,478339.786,6772121.788,231.047,3.6,3,165,6.3,0,0,0,1306,6.3,84
S4_226_401_V1,117,478341.673,6772124.120,237.373,478341.673,6772124.120,230.773,3.6,3,165,6.6,0,0,0,1261,6.6,82
S4_226_401_V1,118,478343.560,6772126.452,237.415,478343.560,6772126.452,230.515,3.6,3,165,6.9,0,0,0,1215,6.9,90
S4_226_401_V1,119,478345.509,6772128.733,237.514,478345.509,6772128.733,230.214,3.6,3,165,7.3,0,0,0,1170,7.3,101
S4_226_401_V1,120,478347.458,6772131.014,237.741,478347.458,6772131.014,229.941,3.6,3,165,7.8,0,0,0,1193,7.8,113
S4_226_401_V1,121,478349.407,6772133.294,237.900,478349.407,6772133.294,229.600,3.6,3,165,8.3,0,0,0,1238,8.3,127
S4_226_401_V1,122,478351.356,6772135.574,237.938,478351.356,6772135.574,229.338,3.6,3,165,8.6,0,0,0,1283,8.6,135
S4_226_401_V1,123,478353.306,6772137.855,238.047,478353.306,6772137.855,229.047,3.6,3,165,9,0,0,0,1328,9,138
S4_226_401_V1,124,478355.255,6772140.135,238.225,478355.255,6772140.135,228.725,3.6,3,165,9.5,0,0,0,1373,9.5,152
S4_226_401_V1,125,478357.204,6772142.416,238.119,478357.204,6772142.416,228.419,3.6,3,165,9.7,0,0,0,1418,9.7,157
S4_226_401_V1,126,478359.176,6772144.676,238.061,478359.176,6772144.676,228.161,3.6,3,165,9.9,0,0,0,1464,9.9,162
S4_226_401_V1,127,478361.213,6772146.879,238.145,478361.213,6772146.879,227.845,3.6,3,165,10.3,0,0,0,1510,10.3,174
S4_226_401_V1,128,478363.249,6772149.082,238.197,478363.249,6772149.082,227.597,3.6,3,165,10.6,0,0,0,1556,10.6,182
S4_226_401_V1,129,478365.286,6772151.285,238.334,478365.286,6772151.285,227.234,3.6,3,165,11.1,0,0,0,1602,11.1,195
S4_226_401_V1,130,478367.322,6772153.488,238.355,478367.322,6772153.488,226.955,3.6,3,165,11.4,0,0,0,1648,11.4,203
S4_226_401_V1,131,478369.220,6772155.811,238.366,478369.220,6772155.811,226.766,3.6,3,165,11.6,0,0,0,1692,11.6,208
S4_226_401_V1,132,478371.102,6772158.147,238.395,478371.102,6772158.147,226.495,3.6,3,165,11.9,0,0,0,1736,11.9,216
S4_226_401_V1,133,478372.962,6772160.501,238.403,478372.962,6772160.501,226.203,3.6,3,165,12.2,0,0,0,1780,12.2,226
S4_226_401_V1,134,478374.816,6772162.860,238.369,478374.816,6772162.860,225.969,3.6,3,165,12.4,0,0,0,1824,12.4,231
S4_226_401_V1,135,478376.761,6772165.144,238.354,478376.761,6772165.144,225.954,3.6,3,165,12.4,0,0,0,1869,12.4,231
S4_226_401_V1,136,478378.706,6772167.428,238.292,478378.706,6772167.428,225.992,3.6,3,165,12.3,0,0,0,1914,12.3,229
S4_226_401_V1,137,478380.650,6772169.713,238.055,478380.650,6772169.713,225.955,3.6,3,165,12.1,0,0,0,1959,12.1,221
S4_226_401_V1,138,478382.578,6772172.012,238.035,478382.578,6772172.012,226.035,3.6,3,165,12,0,0,0,2004,12,219
S4_226_401_V1,139,478384.328,6772174.448,238.022,478384.328,6772174.448,226.022,3.6,3,165,12,0,0,0,2046,12,219
